trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,6.001719399995636,6.518834499991499,6.518834499991499,6.518834499991499,6.818552700045984,right,10.0,1,1,234.21935199998552,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
1,1,8.0,9.55357470002491,10.05366190004861,10.05366190004861,10.05366190004861,10.353334500046913,left,-8.0,0,0,232.31177309999475,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
2,1,9.0,11.18729880003957,11.68588240002282,11.68588240002282,11.68588240002282,11.98694410000462,left,-9.0,0,0,232.6535232999595,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
3,1,10.0,13.154133100004401,13.65352960000746,13.65352960000746,13.65352960000746,13.953259100031573,left,-10.0,1,1,232.31504939997103,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
4,1,10.0,14.787357900000643,15.287154500023462,15.287154500023462,15.287154500023462,15.587255300022662,right,10.0,1,1,231.95098289998714,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
5,1,10.0,16.053207400022075,16.55344899999909,16.55344899999909,16.55344899999909,16.852815699996427,left,-10.0,1,1,232.67958489997545,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
6,0.5,9.0,18.053621700033545,18.553269400028512,18.553269400028512,18.553269400028512,18.85379910003394,left,-9.0,0,0,232.01502279995475,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
7,0.5,9.5,19.38671799999429,19.88678510003956,19.88678510003956,19.88678510003956,20.185519899998326,left,-9.5,0,0,232.06803999998374,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
8,0.5,10.0,20.770214900025167,21.27029150002636,21.27029150002636,21.27029150002636,21.570046600012574,right,10.0,0,0,232.09842689998914,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
9,0.5,10.5,22.18594729999313,22.686970800044946,22.686970800044946,22.686970800044946,22.98744420002913,right,10.5,1,1,231.9844256999786,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
10,0.5,10.5,23.486697400046978,23.985505699994974,23.985505699994974,23.985505699994974,24.286747800011653,left,-10.5,1,1,232.1829367999453,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
11,0.5,10.5,24.986655400018208,25.48665340000298,25.48665340000298,25.48665340000298,25.786964800034184,left,-10.5,0,0,231.93498579994775,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
12,0.5,11.0,26.236798900004942,26.73674270004267,26.73674270004267,26.73674270004267,27.036446000041906,right,11.0,0,0,231.96818510000594,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
13,0.5,11.5,27.52011510002194,28.02000690001296,28.02000690001296,28.02000690001296,,right,11.5,0,0,231.35794959997293,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
14,0.5,12.0,28.202591400011443,28.703353100048844,28.703353100048844,28.703353100048844,29.003178899991326,left,-12.0,0,0,231.59491330001038,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
15,0.5,12.5,29.11990390002029,29.62056470004609,29.62056470004609,29.62056470004609,29.91921540000476,left,-12.5,0,0,231.56204059999436,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
16,0.5,13.0,30.003503900021315,30.503257800010033,30.503257800010033,30.503257800010033,30.803404700011015,left,-13.0,0,0,231.6907014999888,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
17,0.5,13.5,31.020330200030003,31.52015749999555,31.52015749999555,31.52015749999555,,left,-13.5,0,0,231.28472120000515,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
18,0.5,14.0,31.61979640001664,32.120046099997126,32.120046099997126,32.120046099997126,32.420331300003454,right,14.0,1,1,231.51804299996002,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
19,0.5,14.0,32.45322250004392,32.95349460002035,32.95349460002035,32.95349460002035,,right,14.0,1,1,231.46728139999323,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
20,0.5,14.0,33.23572320002131,33.73657930002082,33.73657930002082,33.73657930002082,,left,-14.0,1,1,231.46390969998902,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
21,0.5,13.5,34.02009500004351,34.52006440004334,34.52006440004334,34.52006440004334,,right,13.5,0,0,231.3643132999423,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
22,0.5,14.0,34.70243830000982,35.2036259000306,35.2036259000306,35.2036259000306,,left,-14.0,1,1,231.28452459996333,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
23,0.5,14.0,35.30343540001195,35.80373089999193,35.80373089999193,35.80373089999193,,right,14.0,0,0,231.24674479995156,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
24,0.5,14.5,35.869989000028,36.37005329999374,36.37005329999374,36.37005329999374,,right,14.5,1,1,231.40852699999232,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
25,0.5,14.5,36.60308960004477,37.10333270003321,37.10333270003321,37.10333270003321,37.4195387000218,right,14.5,1,1,231.5330998999416,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
26,0.5,14.5,37.45331640000222,37.95306170004187,37.95306170004187,37.95306170004187,,right,14.5,1,1,231.30178209999576,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
27,0.5,14.0,38.070244000002276,38.57017360004829,38.57017360004829,38.57017360004829,,left,-14.0,0,0,231.30936020001536,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
28,0.5,14.5,38.70365959999617,39.20347380003659,39.20347380003659,39.20347380003659,,left,-14.5,0,0,231.33287119999295,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
29,0.5,15.0,39.35240140004316,39.85432670003502,39.85432670003502,39.85432670003502,,right,15.0,1,1,231.31613669998478,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
30,0.5,15.0,39.985776100016665,40.48672839999199,40.48672839999199,40.48672839999199,40.78601490001893,right,15.0,1,1,237.36751289997483,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
31,0.5,15.0,46.66985890001524,47.16958560002968,47.16958560002968,47.16958560002968,47.47020530002192,left,-15.0,0,0,231.73530220001703,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
